A01	Badanie ogolne moczu (profil)
67.34	Laseroterapia zmiany szyjki macicy
67.39	Zniszczenie lub wyciecie zmiany lub tkanki szyjki macicy - inne
	
67.51	Szew okrezny, dojscie przez sciane brzucha
67.59	Inne zabiegi naprawcze ujscia wewnetrznego szyjki macicy
67.59	Inne zabiegi naprawcze ujscia wewnetrznego szyjki macicy
67.59	Inne zabiegi naprawcze ujscia wewnetrznego szyjki macicy
67.59	Inne zabiegi naprawcze ujscia wewnetrznego szyjki macicy
67.61	Szycie rozdarcia szyjki macicy
67.62	Zamkniecie przetoki szyjki macicy
67.69	Inne zabiegi naprawcze na szyjce macicy
	
68.11	Badanie palpacyjne macicy
68.12	Histeroskopia diagnostyczna
68.13	Biopsja macicy w czasie laparotomii
68.14	Biopsja wiezadel macicy w czasie laparotomii
68.15	Biopsja wiezadel macicy bez otwarcia brzucha
68.15	Biopsja wiezadel macicy bez otwarcia brzucha
68.16	Biopsja macicy bez otwarcia brzucha
68.17	Przezpochwowa hydrolaparoskopia (THL)
68.19	Zabiegi diagnostyczne macicy i struktur ja podtrzymujacych - inne
68.21	Rozciecie zrostow endometrium
68.22	Naciecie albo wyciecie wrodzonej przegrody macicy
68.23	Ablacja endometrium
68.23	Ablacja endometrium
68.23	Ablacja endometrium
68.23	Ablacja endometrium
68.24	Histerolaparoskopia lecznicza
68.29	Inne wyciecie lub zniszczenie zmiany chorobowej w macicy
68.31	Laparoskopowa nadszyjkowe usuniecie macicy[LSH]
68.31	Laparoskopowa nadszyjkowe usuniecie macicy[LSH]
68.39	Inne niecalkowite brzuszne wyciecie macicy
68.41	Proste wyciecie macicy
68.42	Poszerzone wyciecie macicy
68.51	Wyciecie macicy droga pochwowa w asyscie laparoskopowej (LAVH)
68.59	Inne wyciecie macicy droga pochwowa
68.61	Zmodyfikowane radykalne wyciecie macicy
68.62	Operacja Wertheima
68.71	Laparoskopowe radykalne wyciecie macicy droga pochwowa [LRVH]
68.76	Histerokolpektomia
68.77	Operacja Schauta
	
	
69.01	Rozszerzenie kanalu szyjki i wylyzeczkowanie scian jamy macicy w celu zakończenia ciazy
69.02	Rozszerzenie kanalu szyjki i wylyzeczkowanie scian jamy macicy po porodzie lub poronieniu
69.03	Rozszerzenie kanalu szyjki i wylyzeczkowanie scian jamy macicy - diagnostyczne
69.04	Rozszerzenie kanalu szyjki i wylyzeczkowanie scian jamy macicy - lecznicze
69.09	Rozszerzenie kanalu szyjki i wylyzeczkowanie scian jamy macicy - inne
	
69.21	Przemieszczenie macicy pomiedzy pecherz a pochwe
69.22	Inne zabiegi podwieszenia macicy
69.22	Inne zabiegi podwieszenia macicy
69.22	Inne zabiegi podwieszenia macicy
69.23	Pochwowa operacja przewleklego wypadania macicy
69.29	Inne operacje naprawcze macicy i struktur podtrzymujacych
	
69.41	Szycie rozdarcia macicy
69.42	Zamkniecie przetoki macicy
69.49	Inne zabiegi naprawcze macicy
69.49	Inne zabiegi naprawcze macicy
69.49	Inne zabiegi naprawcze macicy
69.49	Inne zabiegi naprawcze macicy
69.51	Aspiracyjne lyzeczkowanie macicy w celu przerwania ciazy 
69.52	Aspiracyjne lyzeczkowanie macicy po porodzie lub poronieniu
69.59	Inne aspiracyjne lyzeczkowanie macicy
	
	
69.91	Wprowadzenie leczniczej wkladki do macicy
69.92	Sztuczna inseminacja
69.93	Wprowadzenie rozszerzadla z blaszecznicy (laminaria)
69.94	Reczne odprowadzenie wypadnietej macicy
69.95	Naciecie szyjki macicy
69.96	Usuniecie szwu okreznego szyjki macicy
69.97	Usuniecie penetrujacego ciala obcego z szyjki macicy
69.98	Inne operacje na aparacie zawieszajacym macice
69.99	Inne operacje na szyjce i macicy
	
70.11	Przeciecie blony dziewiczej
70.12	Naciecie zaglebienia odbytniczo-macicznego
70.13	Uwolnienie zrostow wewnatrzpochwowych
70.14	Inne naciecie pochwy
70.14	Inne naciecie pochwy
70.21	Wziernikowanie pochwy
70.22	Wziernikowanie zaglebienia odbytniczo-macicznego - kuldoskopia
70.23	Biopsja zaglebienia odbytniczo-macicznego
70.24	Biopsja pochwy
70.29	Zabiegi diagnostyczne pochwy/jamy Douglasa - inne
70.31	Wyciecie blony dziewiczej
70.32	Wyciecie lub zniszczenie zmiany w zatoce Douglasa
70.32	Wyciecie lub zniszczenie zmiany w zatoce Douglasa
70.33	Wyciecie lub zniszczenie zmiany pochwy
	
70.50	Plastyka przednia i tylna pochwy
70.51	Operacja uchylka pecherzowego pochwy
70.52	Operacja uchylka odbytniczego pochwy
70.61	Wytworzenie pochwy
70.62	Odtworzenie pochwy
70.71	Szycie rozdarcia pochwy
70.72	Operacja przetoki pochwowo-okrezniczej
70.73	Operacja przetoki pochwowo-odbytniczej
70.74	Operacja innych przetok pochwowo-jelitowych
70.75	Operacja innych przetok pochwowych
70.76	Zeszycie blony dziewiczej
70.77	Podwieszenie i umocowanie pochwy
70.79	Inna operacja naprawcza pochwy
70.79	Inna operacja naprawcza pochwy
	
70.91	Operacje pochwy - inne
70.92	Operacje zatoki Douglasa - inne
70.92	Operacje zatoki Douglasa - inne
71.01	Uwolnienie zrostow sromu
71.09	Naciecie sromu/ krocza - inne
71.09	Naciecie sromu/ krocza - inne
71.11	Biopsja sromu
71.19	Zabiegi diagnostyczne sromu - inne
71.21	Przezskorna aspiracja torbieli gruczolu Bartholina
71.22	Naciecie torbieli gruczolu Bartholina
71.23	Marsupializacja torbieli gruczolu Bartholina
71.24	Wyciecie albo inne zniszczenie torbieli gruczolu Bartholina
71.29	Inne operacje na gruczole Bartholina
	
71.41	Amputacja lechtaczki
71.42	Naciecie lechtaczki
71.43	Obrzezanie kobiety
	
71.61	Jednostronne proste wyciecie sromu
71.62	Obustronne proste wyciecie sromu
71.69	Wyciecie sromu - inne
71.71	Szycie pekniecia sromu lub krocza
71.72	Operacja przetoki sromu lub krocza
71.79	Operacje zeszycia zastarzalego poporodowego pekniecia sromu lub krocza
	
	
	
	
72.21	Kleszcze prozniowe z nacieciem krocza
72.29	Kleszcze prozniowe - inne
72.31	Kleszcze wysokie z nacieciem krocza
72.39	Kleszcze wysokie - inne
72.41	Manewr DeLee
72.42	Osiowy obrot plodu
72.43	Rotacja kleszczami Kiellanda
72.44	Manewr Scanzoni'ego
72.51	Pomoc reczna z nalozeniem kleszczy na nastepujaca glowke
72.52	Pomoc reczna - inne
72.53	Reczne wydobycie plodu z nalozeniem kleszczy na nastepujaca glowke
72.54	Reczne wydobycie plodu - inne
	
72.71	Prozniociag polozniczy z nacieciem krocza
72.79	Prozniociag polozniczy - inny
	
	
73.01	Wzniecenie porodu poprzez przerwanie ciaglosci blon plodowych
73.09	Przerwanie ciaglosci blon plodowych - inne
73.09	Przerwanie ciaglosci blon plodowych - inne
73.11	Wzniecenie porodu przez rozszerzenie szyjki macicy
73.21	Wewnetrzny i kombinowany obrot plodu bez jego wydobycia
73.22	Wewnetrzny i kombinowany obrot plodu z jego wydobyciem
73.31	Nalozenie kleszczy bez nastepowego urodzenia
73.32	Kleszcze probne
	
73.51	Reczna rotacja glowki plodu (wytoczenie barkow)
73.59	Porod z pomoca reczna - inne
73.59	Porod z pomoca reczna - inne
73.61	Naciecie krocza z nastepowym zeszyciem
73.62	Naciecie krocza i odbytnicy
73.71	Porod samoistny bez naciecia krocza
73.72	Porod samoistny z nacieciem krocza i nastepowym zeszyciem
	
73.91	Obrot zewnetrzny
73.92	Odprowadzenie wypadnietej pepowiny
73.93	Naciecie szyjki macicy w celu ulatwienia porodu
73.94	Przeciecie kosci lonowej przy porodzie
73.99	Inne
	
	
	
74.31	Operacja ciazy ektopowej brzusznej
74.32	Wydobycie plodu z jamy otrzewnowej lub przestrzeni pozaotrzewnowej po peknieciu macicy lub jajowodu
74.41	Ciecie cesarskie z ominieciem jamy otrzewnowej
74.42	Przezotrzewnowe ciecie cesarskie BNO
74.43	Pochwowe ciecie cesarskie
74.91	Naciecie macicy w celu przerwania ciazy
74.99	Inne ciecie cesarskie nieokreslonego typu
74.99	Inne ciecie cesarskie nieokreslonego typu
74.99	Inne ciecie cesarskie nieokreslonego typu
75.01	Wstrzykniecie prostaglandyny w celu wywolania poronienia
75.02	Wstrzykniecie soli fizjologicznej w celu wywolania poronienia
75.03	Zakończenie ciazy przez wstrzykniecie domaciczne
	
75.21	Wewnatrzmaciczna transfuzja wymienna
75.22	Wprowadzenie cewnika do jamy brzusznej plodu celem wykonania transfuzji
75.31	Amnioskopia
75.31	Amnioskopia
75.31	Amnioskopia
75.32	Ekg plodu – z owlosionej skory glowy
75.33	Pobranie probki krwi plodu z owlosionej skory glowy
75.34	Monitorowanie plodu - BNO
75.34	Monitorowanie plodu - BNO
75.35	Inne zabiegi diagnostyczne na plodzie i owodni
75.35	Inne zabiegi diagnostyczne na plodzie i owodni
75.36	Korekcja wady rozwojowej plodu
75.37	Amnioinfuzja
75.38	Oksymetria pulsacyjna plodu
75.38	Oksymetria pulsacyjna plodu
	
75.51	Zeszycie swiezego polozniczego uszkodzenia szyjki macicy
75.52	Zeszycie swiezego polozniczego uszkodzenia trzonu macicy
75.59	Zabieg naprawczy swiezego polozniczego uszkodzenia macicy - inne
75.61	Zeszycie swiezego polozniczego uszkodzenia pecherza lub cewki moczowej
75.62	Zeszycie swiezego polozniczego uszkodzenia odbytu i zwieracza odbytu
75.69	Zeszycie innego polozniczego uszkodzenia
75.69	Zeszycie innego polozniczego uszkodzenia
75.69	Zeszycie innego polozniczego uszkodzenia
75.69	Zeszycie innego polozniczego uszkodzenia
75.69	Zeszycie innego polozniczego uszkodzenia
75.69	Zeszycie innego polozniczego uszkodzenia
75.71	Reczna kontrola jamy macicy po porodzie
75.72	Instrumentalna kontrola jamy macicy po porodzie
75.81	Poloznicza tamponada macicy
75.82	Poloznicza tamponada pochwy
75.91	Ewakuacja poporodowego krwiaka krocza
75.91	Ewakuacja poporodowego krwiaka krocza
75.92	Ewakuacja innego rodzaju krwiaka krocza lub pochwy
75.93	Chirurgiczna korekcja wynicowanej macicy
75.94	Reczne odprowadzenie wynicowanej macicy
75.99	Operacje poloznicze - inne
76.01	Wyciecie martwaka kosci twarzy
76.09	Naciecie kosci twarzy - inne
76.11	Biopsja kosci twarzy
76.19	Zabiegi diagnostyczne kosci i stawow twarzy - inne
	
76.31	Czesciowe wyciecie zuchwy
76.31	Czesciowe wyciecie zuchwy
76.39	Czesciowe wyciecie kosci twarzy - inne
76.41	Calkowite wyciecie zuchwy z jednoczasowa rekonstrukcja
76.42	Calkowite wyciecie zuchwy - inne
76.43	Rekonstrukcja zuchwy - inna
76.44	Calkowite usuniecie innej kosci twarzy z jednoczasowa rekonstrukcja
76.44	Calkowite usuniecie innej kosci twarzy z jednoczasowa rekonstrukcja
76.45	Calkowite wyciecie innej kosci twarzy
76.45	Calkowite wyciecie innej kosci twarzy
76.46	Rekonstrukcja kosci twarzy - inna
	
76.61	Zamknieta plastyka galezi zuchwy
76.62	Otwarta plastyka galezi zuchwy
76.63	Plastyka trzonu zuchwy
76.64	Operacje ortognatyczne zuchwy - inne
76.65	Segmentarna osteoplastyka szczeki
76.66	Calkowita osteoplastyka szczeki
76.67	Plastyka/ cofniecie brodki
76.68	Plastyka/ powiekszenie brodki
76.68	Plastyka/ powiekszenie brodki
76.69	Operacje naprawcze kosci twarzy - inne
76.69	Operacje naprawcze kosci twarzy - inne
76.69	Operacje naprawcze kosci twarzy - inne
76.69	Operacje naprawcze kosci twarzy - inne
76.71	Zamkniete nastawienie zlamania kosci jarzmowej
76.72	Otwarte nastawienie zlamania kosci jarzmowej
76.73	Zamkniete nastawienie zlamania szczeki
76.74	Otwarte nastawienie zlamania szczeki
76.75	Zamkniete nastawienie zlamania zuchwy
76.76	Otwarte nastawienie zlamania zuchwy
76.77	Otwarte nastawienie zlamania zebodolu
76.78	Zamkniete nastawienie kosci twarzy - inne
76.78	Zamkniete nastawienie kosci twarzy - inne
76.79	Otwarte nastawienie kosci twarzy - inne
76.79	Otwarte nastawienie kosci twarzy - inne
76.91	Przeszczep kostny kosci twarzy
76.91	Przeszczep kostny kosci twarzy
76.91	Przeszczep kostny kosci twarzy
76.92	Sztuczny wszczep do kosci twarzy
76.93	Zamkniete nastawienie zwichniecia stawu skroniowo-zuchwowego
76.94	Otwarte nastawienie zwichniecia stawu skroniowo-zuchwowego
76.95	Inne manipulacje stawu skroniowo-zuchwowego
76.96	Wstrzykniecie leku do stawu skroniowo-zuchwowego
76.97	Usuniecie unieruchomienia wewnetrznego z kosci twarzy
76.99	Operacje kosci twarzy/ stawow - inne
77.00	Wyciecie martwaka - nieokreslone miejsce 
77.01	Wyciecie martwaka - lopatka, obojczyk, klatka piersiowa (zebra i mostek)
77.02	Wyciecie martwaka - kosc ramienna
77.03	Wyciecie martwaka - kosc promieniowa/ kosc lokciowa
77.04	Wyciecie martwaka - kosci nadgarstka/ srodrecza
77.05	Wyciecie martwaka - kosc udowa
77.06	Wyciecie martwaka - rzepka
77.07	Wyciecie martwaka - kosc piszczelowa/ kosc strzalkowa
77.08	Wyciecie martwaka - kosci stepu/ kosci srodstopia
77.09	Wyciecie martwaka - inne kosci
77.09	Wyciecie martwaka - inne kosci
77.09	Wyciecie martwaka - inne kosci
77.10	Inne naciecie kosci bez rozdzielenia - nieokreslone miejsce 
77.11	Inne naciecie kosci bez rozdzielenia - lopatka, obojczyk, klatka piersiowa (zebra i mostek)
77.12	Inne naciecie kosci bez rozdzielenia - kosc ramienna
77.13	Inne naciecie kosci bez rozdzielenia - kosc promieniowa/ kosc lokciowa
77.14	Inne naciecie kosci bez rozdzielenia - kosci nadgarstka/ srodrecza
77.15	Inne naciecie kosci bez rozdzielenia - kosc udowa
77.16	Inne naciecie kosci bez rozdzielenia - rzepka
77.17	Inne naciecie kosci bez rozdzielenia - kosc piszczelowa/ kosc strzalkowa
77.18	Inne naciecie kosci bez rozdzielenia - kosci stepu/ kosci srodstopia
77.19	Inne naciecie kosci bez rozdzielenia - inne kosci
77.19	Inne naciecie kosci bez rozdzielenia - inne kosci
77.19	Inne naciecie kosci bez rozdzielenia - inne kosci
77.20	Osteotomia klinowa - nieokreslone miejsce 
77.21	Osteotomia klinowa - lopatka, obojczyk, klatka piersiowa (zebra i mostek)
77.22	Osteotomia klinowa - kosc ramienna
77.23	Osteotomia klinowa - kosc promieniowa/ kosc lokciowa
77.24	Osteotomia klinowa - kosci nadgarstka/ srodrecza
77.25	Osteotomia klinowa - kosc udowa
77.26	Osteotomia klinowa - rzepka
77.27	Osteotomia klinowa - kosc piszczelowa/ kosc strzalkowa
77.28	Osteotomia klinowa - kosci stepu/ kosci srodstopia
77.29	Osteotomia klinowa - inne kosci
77.29	Osteotomia klinowa - inne kosci
77.29	Osteotomia klinowa - inne kosci
77.30	Inne rozdzielenie kosci - nieokreslone miejsce 
77.31	Inne rozdzielenie kosci - lopatka, obojczyk, klatka piersiowa (zebra i mostek)
77.32	Inne rozdzielenie kosci - kosc ramienna
77.33	Inne rozdzielenie kosci - kosc promieniowa/ kosc lokciowa
77.34	Inne rozdzielenie kosci - kosci nadgarstka/ srodrecza
77.35	Inne rozdzielenie kosci - kosc udowa
77.36	Inne rozdzielenie kosci - rzepka
77.37	Inne rozdzielenie kosci - kosc piszczelowa/ kosc strzalkowa
77.38	Inne rozdzielenie kosci - kosci stepu/ kosci srodstopia
77.39	Inne rozdzielenie kosci - inne kosci
77.39	Inne rozdzielenie kosci - inne kosci
77.39	Inne rozdzielenie kosci - inne kosci
77.40	Biopsja kosci - nieokreslone miejsce 
77.41	Biopsja kosci - lopatka, obojczyk, klatka piersiowa (zebra i mostek)
77.42	Biopsja kosci - kosc ramienna
77.43	Biopsja kosci - kosc promieniowa/ kosc lokciowa
77.44	Biopsja kosci - kosci nadgarstka/ srodrecza
77.45	Biopsja kosci - kosc udowa
77.46	Biopsja kosci - rzepka
77.47	Biopsja kosci - kosc piszczelowa/ kosc strzalkowa
77.48	Biopsja kosci - kosci stepu/ kosci srodstopia
77.49	Biopsja kosci - inne kosci
77.49	Biopsja kosci - inne kosci
77.49	Biopsja kosci - inne kosci
77.51	Wyciecie kaletki palucha z korekcja tkanek miekkich z osteotomia I-szej kosci srodstopia
77.52	Wyciecie kaletki palucha z korekcja tkanek miekkich i artrodeza
77.53	Wyciecie kaletki palucha/ korekcja tkanek miekkich - inne
77.54	Korekcja 5 palca stopy
77.56	Korekcja palca mlotkowatego stopy
77.56	Korekcja palca mlotkowatego stopy
77.57	Operacja palca szponiastego stopy
77.57	Operacja palca szponiastego stopy
77.57	Operacja palca szponiastego stopy
77.57	Operacja palca szponiastego stopy
77.58	Inne wyciecie, zespolenie i operacja palcow stopy 
77.58	Inne wyciecie, zespolenie i operacja palcow stopy 
77.58	Inne wyciecie, zespolenie i operacja palcow stopy 
77.59	Inna korekcja palucha koslawego
77.60	Miejscowe wyciecie zmiany lub tkanki kosci - nieokreslone miejsce
77.61	Miejscowe wyciecie zmiany lub tkanki kosci - lopatka, obojczyk, klatka piersiowa (zebra i mostek)
77.62	Miejscowe wyciecie zmiany lub tkanki kosci - kosc ramienna
77.63	Miejscowe wyciecie zmiany lub tkanki kosci - kosc promieniowa/ kosc lokciowa
77.64	Miejscowe wyciecie zmiany lub tkanki kosci - kosci nadgarstka/ srodrecza
77.65	Miejscowe wyciecie zmiany lub tkanki kosci - kosc udowa
77.66	Miejscowe wyciecie zmiany lub tkanki kosci - rzepka
77.67	Miejscowe wyciecie zmiany lub tkanki kosci - kosc piszczelowa/ kosc strzalkowa
77.68	Miejscowe wyciecie zmiany lub tkanki kosci - kosci stepu/ kosci srodstopia
77.69	Miejscowe wyciecie zmiany lub tkanki kosci - inne kosci
77.69	Miejscowe wyciecie zmiany lub tkanki kosci - inne kosci
77.69	Miejscowe wyciecie zmiany lub tkanki kosci - inne kosci
77.70	Wyciecie kosci do przeszczepu - nieokreslone miejsce 
77.71	Wyciecie kosci do przeszczepu - lopatka, obojczyk, klatka piersiowa (zebra i mostek)
77.72	Wyciecie kosci do przeszczepu - kosc ramienna
77.73	Wyciecie kosci do przeszczepu - kosc promieniowa/ kosc lokciowa
77.74	Wyciecie kosci do przeszczepu - kosci nadgarstka/ srodrecza
77.75	Wyciecie kosci do przeszczepu - kosc udowa
77.76	Wyciecie kosci do przeszczepu - rzepka
77.77	Wyciecie kosci do przeszczepu - kosc piszczelowa/ kosc strzalkowa
77.78	Wyciecie kosci do przeszczepu - kosci stepu/ kosci srodstopia
77.79	Wyciecie kosci do przeszczepu - inne kosci
77.79	Wyciecie kosci do przeszczepu - inne kosci
77.79	Wyciecie kosci do przeszczepu - inne kosci
77.80	Inne czesciowe wyciecie kosci - nieokreslone miejsce 
77.81	Inne czesciowe wyciecie kosci - lopatka, obojczyk, klatka piersiowa (zebra i mostek)
77.82	Inne czesciowe wyciecie kosci - kosc ramienna
77.83	Inne czesciowe wyciecie kosci - kosc promieniowa/ kosc lokciowa
77.84	Inne czesciowe wyciecie kosci - kosci nadgarstka/ srodrecza
77.85	Inne czesciowe wyciecie kosci - kosc udowa
77.86	Inne czesciowe wyciecie kosci - rzepka
77.87	Inne czesciowe wyciecie kosci - kosc piszczelowa/ kosc strzalkowa
77.88	Inne czesciowe wyciecie kosci - kosci stepu/ kosci srodstopia
77.89	Inne czesciowe wyciecie kosci - inne kosci
77.89	Inne czesciowe wyciecie kosci - inne kosci
77.89	Inne czesciowe wyciecie kosci - inne kosci
77.90	Calkowite wyciecie kosci - nieokreslone miejsce 
77.91	Calkowite wyciecie kosci - lopatka, obojczyk, klatka piersiowa (zebra i mostek)
77.92	Calkowite wyciecie kosci - kosc ramienna
77.93	Calkowite wyciecie kosci - kosc promieniowa/ kosc lokciowa
77.94	Calkowite wyciecie kosci - kosci nadgarstka/ srodrecza
77.95	Calkowite wyciecie kosci - kosc udowa
77.96	Calkowite wyciecie kosci - rzepka
77.97	Calkowite wyciecie kosci - kosc piszczelowa/ kosc strzalkowa
77.98	Calkowite wyciecie kosci - kosci stepu/ kosci srodstopia
77.99	Calkowite wyciecie kosci - inne kosci
77.99	Calkowite wyciecie kosci - inne kosci
77.99	Calkowite wyciecie kosci - inne kosci
78.01	Przeszczep kostny z banku kosci
78.01	Przeszczep kostny z banku kosci
78.01	Przeszczep kostny z banku kosci
78.01	Przeszczep kostny z banku kosci
78.01	Przeszczep kostny z banku kosci
78.01	Przeszczep kostny z banku kosci
78.01	Przeszczep kostny z banku kosci
78.01	Przeszczep kostny z banku kosci
78.01	Przeszczep kostny z banku kosci
78.01	Przeszczep kostny z banku kosci
78.02	Przeszczep kostny (autogenny) (heterogenny)
78.02	Przeszczep kostny (autogenny) (heterogenny)
78.02	Przeszczep kostny (autogenny) (heterogenny)
78.02	Przeszczep kostny (autogenny) (heterogenny)
78.02	Przeszczep kostny (autogenny) (heterogenny)
78.02	Przeszczep kostny (autogenny) (heterogenny)
78.02	Przeszczep kostny (autogenny) (heterogenny)
78.02	Przeszczep kostny (autogenny) (heterogenny)
78.02	Przeszczep kostny (autogenny) (heterogenny)
78.02	Przeszczep kostny (autogenny) (heterogenny)
78.03	Przeszczep kostny z oczyszczeniem miejsca przeszczepu (usuniecie stwardnialej, zwloknialej lub martwiczej kosci lub tkanki) transplantacja kosci
